1054,708,1480,20708,8167
1064,714,1481,20720,8172
1063,717,1482,20728,8178
1009,738,1483,20742,8185
924,745,1484,20755,8188
796,686,1485,20767,8195
736,608,1509,21031,8329
731,620,1510,21042,8334
807,603,1511,21055,8341
851,559,1512,21067,8346
867,531,1513,21073,8352
860,502,1514,21086,8358
848,486,1515,21104,8362
834,476,1516,21118,8368
830,475,1517,21129,8374
768,510,1518,21140,8381
736,530,1519,21153,8387
728,539,1520,21162,8393
720,542,1521,21176,8399
721,524,1522,21187,8404
779,446,1523,21199,8410
872,423,1524,21208,8417
963,462,1525,21222,8423
978,472,1526,21232,8428
983,477,1527,21244,8435
978,480,1528,21255,8440
974,481,1529,21266,8447
970,481,1530,21277,8453
978,487,1531,21288,8458
972,517,1532,21299,8463
925,555,1533,21311,8468
797,564,1534,21320,8474
617,911,1536,21342,8485
658,718,1538,21364,8496
634,743,1539,21373,8501
625,802,1541,21399,8512
608,870,1543,21422,8523
667,876,1544,21430,8530
694,793,1545,21442,8535
694,687,1546,21452,8539
697,599,1547,21466,8545
698,568,1548,21473,8551
697,561,1549,21491,8556
696,563,1550,21498,8561
696,568,1551,21509,8569
697,573,1552,21522,8574
793,329,1590,21951,8789
832,243,1591,21964,8793
812,510,1592,21976,8800
828,320,1593,21984,8806
789,580,1594,21996,8812
820,346,1595,22005,8816
832,260,1596,22016,8823
831,225,1597,22027,8827
837,221,1598,22041,8833
681,377,1599,22053,8839
571,382,1600,22066,8845
475,341,1601,22075,8851
426,399,1602,22086,8857
490,478,1603,22099,8862
726,311,1604,22113,8868
717,466,1605,22119,8873
712,522,1606,22130,8881
707,543,1607,22142,8885
667,633,1608,22156,8890
699,721,1609,22165,8895
856,765,1610,22178,8902
940,792,1611,22189,8906
1021,706,1612,22198,8914
911,639,1613,22209,8920
799,586,1614,22220,8924
700,502,1617,22251,8941
589,438,1618,22265,8945
510,467,1619,22278,8950
390,498,1620,22288,8957
349,514,1621,22298,8963
373,550,1622,22309,8968
487,571,1623,22324,8973
631,554,1624,22333,8979
687,548,1625,22349,8986
705,545,1626,22361,8991
709,546,1627,22369,8997
705,546,1628,22382,9002
752,509,1629,22391,9007
851,399,1630,22400,9013
888,354,1631,22413,9019
896,346,1632,22427,9024
905,335,1633,22436,9029
939,345,1634,22450,9036
928,433,1635,22459,9041
803,525,1636,22472,9048
743,549,1638,22491,9060
665,489,1639,22502,9065
610,360,1640,22512,9070
656,250,1641,22526,9076
689,200,1642,22539,9081
764,192,1643,22548,9088
803,192,1644,22559,9093
831,200,1645,22571,9098
841,212,1646,22585,9103
885,274,1647,22599,9110
829,432,1648,22609,9117
760,524,1649,22622,9123
734,554,1650,22632,9128
725,559,1651,22643,9135
723,555,1652,22655,9140
723,550,1653,22663,9146
724,544,1654,22675,9153
725,540,1655,22691,9156
725,537,1656,22697,9162
726,536,1657,22709,9169
727,535,1658,22720,9173
727,535,1659,22729,9179
727,534,1660,22740,9184
725,532,1661,22751,9190
724,532,1662,22762,9194
722,532,1663,22776,9200
722,531,1664,22785,9205
956,623,1665,22798,9212
1039,655,1667,22821,9223
1062,672,1668,22830,9230
864,595,1669,22843,9236
787,566,1670,22852,9240
758,554,1671,22865,9246
750,551,1672,22879,9250
827,551,1673,22891,9256
965,618,1674,22899,9263
1028,671,1675,22913,9270
1050,695,1676,22923,9274
969,742,1677,22937,9281
855,696,1678,22944,9286
763,614,1679,22957,9292
728,581,1680,22966,9296
719,569,1681,22975,9303
720,567,1682,22986,9307
724,567,1683,22999,9313
684,578,1709,23277,9453
679,593,1710,23290,9458
703,613,1711,23302,9463
669,645,1712,23315,9469
649,655,1713,23324,9475
626,599,1714,23332,9482
553,545,1715,23345,9486
567,473,1719,23395,9509
651,505,1720,23404,9515
685,518,1721,23415,9522
698,526,1722,23426,9526
703,533,1723,23435,9532
704,534,1724,23446,9537
740,469,1725,23457,9543
729,405,1726,23471,9548
622,363,1727,23482,9554
555,436,1728,23495,9560
466,577,1729,23501,9566
492,696,1730,23515,9572
576,730,1731,23526,9576
645,687,1732,23537,9582
683,606,1735,23568,9598
757,610,1737,23590,9608
854,735,1738,23603,9614
865,845,1739,23610,9620
818,834,1740,23624,9627
792,762,1741,23637,9630
742,641,1742,23646,9636
488,490,1744,23674,9647
393,425,1747,23704,9664
658,387,1748,23718,9671
856,342,1749,23727,9677
987,377,1750,23736,9683
976,502,1751,23747,9688
953,642,1752,23755,9693
990,715,1753,23768,9699
1032,681,1754,23777,9703
1067,579,1755,23788,9708
1046,513,1756,23802,9714
943,528,1757,23814,9719
801,550,1758,23824,9725
483,470,1759,23837,9731
297,405,1760,23851,9736
508,509,1761,23861,9742
447,541,1762,23875,9748
384,509,1763,23886,9753
363,501,1764,23895,9759
