Time Stamp (ms),qw,qx,qy,qz
7617,-0.563721,0.00402832,-0.507263,-0.651855
7658,-0.549072,0.0177002,-0.519409,-0.654602
7699,-0.564026,0.0206909,-0.477966,-0.673096
7740,-0.549683,0.0557251,-0.512207,-0.657532
7779,-0.528503,0.0366211,-0.501587,-0.683899
7821,-0.4823,0.0440063,-0.522888,-0.701477
7860,-0.434204,0.0409546,-0.515259,-0.737793
7901,-0.381042,0.0577393,-0.483765,-0.785767
7943,-0.290833,0.118958,-0.49762,-0.808472
7981,-0.187683,0.14624,-0.490356,-0.83844
8023,-0.163513,0.208191,-0.509094,-0.81897
8063,-0.149963,0.222107,-0.496338,-0.825745
8104,-0.0672607,0.211853,-0.476807,-0.850464
8146,-0.0647583,0.263367,-0.444458,-0.85376
8186,-0.0511475,0.255005,-0.414124,-0.872253
8227,-0.0119629,0.262634,-0.416931,-0.870056
8266,0.103149,0.275635,-0.44696,-0.844727
8308,0.0255127,0.351135,-0.417786,-0.837585
8348,-0.0181885,0.352173,-0.422424,-0.835022
8390,-0.19873,0.395691,-0.409851,-0.797485
8429,-0.28363,0.342468,-0.425659,-0.788086
8470,-0.317322,0.341492,-0.454163,-0.759277
8510,-0.31012,0.327759,-0.448425,-0.771545
8550,-0.322693,0.301331,-0.442688,-0.780457
8591,-0.300537,0.262878,-0.429382,-0.810059
8631,-0.349182,0.248413,-0.428589,-0.79541
8671,-0.374023,0.217773,-0.435181,-0.78949
8713,-0.368958,0.206726,-0.502136,-0.754272
8755,-0.404846,0.295898,-0.583069,-0.639221
8796,-0.389832,0.27002,-0.61676,-0.628235
8835,-0.398804,0.226196,-0.603149,-0.652649
8877,-0.344727,0.293701,-0.651428,-0.608704
8915,-0.361511,0.285889,-0.632996,-0.622009
8957,-0.323608,0.30957,-0.681152,-0.579163
8997,-0.297485,0.328369,-0.701477,-0.558228
9040,-0.321228,0.307739,-0.671936,-0.592102
9078,-0.321777,0.291443,-0.634155,-0.639832
9118,-0.213684,0.246155,-0.575745,-0.749817
9161,-0.137451,0.281311,-0.511047,-0.800537
9199,0.0130615,0.282593,-0.417175,-0.863708
9241,0.0708008,0.338745,-0.379578,-0.857971
9282,0.121826,0.340759,-0.362854,-0.858704
9322,0.168945,0.340088,-0.375549,-0.845398
9361,0.212341,0.324097,-0.342102,-0.856079
9404,0.176819,0.342896,-0.316345,-0.866699
9444,0.170776,0.378967,-0.329224,-0.847839
9484,0.179565,0.313293,-0.322266,-0.875061
9525,0.174744,0.337036,-0.337952,-0.861206
9566,0.177368,0.328491,-0.293701,-0.880005
9607,0.190796,0.368774,-0.307739,-0.856079
9646,0.187927,0.360107,-0.297119,-0.864136
9688,0.22406,0.340576,-0.320251,-0.855103
9727,0.314453,0.341125,-0.313782,-0.82843
9768,0.375061,0.341675,-0.259277,-0.821838
9809,0.353149,0.379822,-0.225464,-0.824707
9848,0.338562,0.353577,-0.203735,-0.847839
9891,0.330566,0.295471,-0.200745,-0.873535
9930,0.322266,0.280579,-0.18988,-0.883911
9971,0.310974,0.215332,-0.181763,-0.907654
10012,0.310852,0.189636,-0.167969,-0.916077
10054,0.313354,0.176819,-0.154724,-0.920105
10094,0.313049,0.184875,-0.158752,-0.917969
10134,0.319153,0.222839,-0.156067,-0.907837
10174,0.365051,0.15741,-0.168518,-0.901978
10214,0.36792,0.0641479,-0.140564,-0.916931
10258,0.350891,0.0372314,-0.123291,-0.92749
10296,0.316406,0.0178223,-0.132935,-0.939087
10336,0.301636,0.0407104,-0.163452,-0.938416
10377,0.283569,0.0361938,-0.184448,-0.940369
10419,0.300232,0.0747681,-0.203369,-0.928955
10458,0.303284,0.0953369,-0.200256,-0.926697
10500,0.354492,0.12616,-0.199768,-0.904724
10540,0.370239,0.142273,-0.215942,-0.892212
10580,0.361938,0.120667,-0.205261,-0.901306
10621,0.360779,0.141296,-0.208008,-0.898071
10661,0.365173,0.129272,-0.213562,-0.896851
10703,0.342468,0.156555,-0.222229,-0.899353
10743,0.338989,0.137817,-0.216614,-0.90509
10783,0.317566,0.140198,-0.227539,-0.90979
10825,0.28894,0.162598,-0.261475,-0.906494
10863,0.287781,0.109314,-0.279785,-0.909363
10906,0.27887,0.12146,-0.316467,-0.898499
10945,0.265442,0.0973511,-0.298035,-0.911743
10984,0.238098,0.0756226,-0.292175,-0.923157
11026,0.224487,0.0745239,-0.318176,-0.91803
11067,0.0662842,-0.0267944,-0.312317,-0.947266
11108,-0.0523071,-0.0168457,-0.352966,-0.934021
11148,-0.149963,0.0626831,-0.406006,-0.899292
11192,-0.153442,0.112671,-0.430969,-0.88208
11230,-0.180054,0.0906982,-0.398865,-0.894592
11270,-0.205444,0.147339,-0.416504,-0.873291
11311,-0.193481,0.186035,-0.439575,-0.857178
11351,-0.244385,0.14917,-0.441833,-0.850159
11392,-0.284363,0.144897,-0.486511,-0.813293
11433,-0.414795,0.098877,-0.443115,-0.788513
11474,-0.412598,0.0684204,-0.44812,-0.7901
11512,-0.434937,0.0639648,-0.455078,-0.774353
11557,-0.42749,0.0940552,-0.507263,-0.742371
11595,-0.416382,0.0761108,-0.474182,-0.771973
11636,-0.396362,0.0238037,-0.466492,-0.790405
11676,-0.413208,-0.0279541,-0.390198,-0.822327
11717,-0.414307,-0.0707397,-0.261536,-0.868896
11757,-0.37262,-0.0435181,-0.298767,-0.877502
11799,-0.299316,-0.0797729,-0.265381,-0.913025
11840,-0.292358,-0.131592,-0.239868,-0.916321
11879,-0.288574,-0.0527954,-0.331787,-0.896606
11920,-0.341003,0.0217896,-0.375793,-0.861389
11960,-0.34021,0.0314941,-0.337891,-0.877014
12000,-0.321655,-0.0355835,-0.260498,-0.909607
12043,-0.313782,-0.100708,-0.188904,-0.925049
12082,-0.250732,-0.0727539,-0.214905,-0.941101
12123,-0.184143,-0.154785,-0.111023,-0.964294
12163,-0.161743,-0.180969,-0.101685,-0.964783
12204,-0.140564,-0.130005,-0.192871,-0.962341
12244,-0.138916,-0.0495605,-0.236084,-0.960449
12284,-0.140015,-0.0610962,-0.20166,-0.967468
12325,-0.114197,-0.118347,-0.142578,-0.976013
12364,-0.079895,-0.157227,-0.11438,-0.977661
12408,-0.00360107,-0.126587,-0.125244,-0.984009
12448,0.0932617,-0.172913,-0.00268555,-0.98053
12490,0.0931396,-0.183228,0.0315552,-0.978149
12529,0.103027,-0.0814819,-0.0264282,-0.990967
12568,0.135071,-0.00219727,-0.0897217,-0.986755
12609,0.116699,0.00231934,-0.130676,-0.984558
12650,0.109253,0.164246,-0.216675,-0.956116
12691,0.0701904,0.310608,-0.302979,-0.898254
12730,0.0596313,0.314941,-0.32251,-0.890625
12772,0.0810547,0.352539,-0.329041,-0.872314
12812,0.103088,0.362244,-0.363525,-0.852051
12853,0.116516,0.381348,-0.388123,-0.830872
12894,0.176392,0.403137,-0.420105,-0.79364
12934,0.16748,0.412109,-0.410095,-0.796204
12976,0.173157,0.377869,-0.36554,-0.832825
13014,0.205688,0.353149,-0.359131,-0.83905
13057,0.194641,0.346375,-0.353638,-0.846802
13096,0.186829,0.324341,-0.353516,-0.8573
13139,0.159607,0.350891,-0.369995,-0.845276
13178,0.0792847,0.455383,-0.379822,-0.80127
13218,0.0556641,0.452026,-0.384399,-0.802979
13259,0.0601196,0.44281,-0.382507,-0.808716
13299,0.0402832,0.493164,-0.387878,-0.777649
13340,0.0670166,0.468628,-0.372192,-0.79834
13381,0.107239,0.436584,-0.355774,-0.819336
13422,0.100464,0.416321,-0.362854,-0.827576
13461,0.107117,0.442627,-0.379456,-0.805359
13502,0.0614014,0.502686,-0.380249,-0.773926
13542,0.0548706,0.45929,-0.378418,-0.801758
13585,0.0319824,0.423218,-0.36908,-0.826843
13625,0.00939941,0.362671,-0.33905,-0.867981
13663,0.00384521,0.362061,-0.357422,-0.860901
13706,-0.0286255,0.323486,-0.34259,-0.881592
13746,-0.0584717,0.264404,-0.336853,-0.901794
13787,-0.0695801,0.226685,-0.32666,-0.914917
13828,-0.122559,0.188477,-0.29425,-0.928894
13867,-0.118286,0.214417,-0.365784,-0.897888
13909,-0.102173,0.204163,-0.35022,-0.908386
13948,-0.139221,0.242676,-0.396851,-0.874207
13990,-0.209961,0.210327,-0.393982,-0.869751
14029,-0.221924,0.195435,-0.429932,-0.853088
14070,-0.179504,0.184265,-0.42157,-0.869568
14111,-0.187134,0.184937,-0.376892,-0.888123
14150,-0.178284,0.207092,-0.396301,-0.876526
14193,-0.161194,0.16217,-0.350403,-0.908264
14234,-0.151001,0.127625,-0.352356,-0.914734
14275,-0.162109,0.126709,-0.375,-0.90387
14315,-0.208191,0.168457,-0.419434,-0.867432
14355,-0.181458,0.194763,-0.428955,-0.86322
14396,-0.120605,0.185669,-0.406006,-0.886658
14437,-0.0631714,0.186829,-0.415527,-0.887939
14476,0.0476685,0.157104,-0.387451,-0.907166
14517,0.0354004,0.222168,-0.406555,-0.885498
14558,0.0457153,0.25116,-0.369934,-0.893311
14598,0.0424194,0.236938,-0.327637,-0.913635
14640,0.0631714,0.283752,-0.342163,-0.893555
14679,0.00286865,0.294861,-0.322021,-0.899658
14720,-0.0375977,0.345703,-0.338196,-0.874451
